client,round,percentage,count
client_112,22,tensor(0.0104),tensor(2678)
client_172,22,tensor(0.0226),tensor(5786)
client_143,22,tensor(0.0063),tensor(1622)
client_163,23,tensor(0.0329),tensor(8428)
client_79,23,tensor(0.0293),tensor(7504)
client_76,23,tensor(0.0278),tensor(7121)
client_51,23,tensor(0.0307),tensor(7869)
client_93,23,tensor(0.0297),tensor(7628)
client_98,23,tensor(0.0214),tensor(5498)
client_64,23,tensor(0.0303),tensor(7759)
client_110,23,tensor(0.0274),tensor(7026)
client_8,23,tensor(0.0331),tensor(8475)
client_152,23,tensor(0.0242),tensor(6198)
client_114,24,tensor(0.0109),tensor(2800)
client_19,24,tensor(0.0269),tensor(6897)
client_92,24,tensor(0.0210),tensor(5376)
client_83,24,tensor(0.0266),tensor(6811)
client_151,24,tensor(0.0081),tensor(2074)
client_89,24,tensor(0.0272),tensor(6977)
client_35,24,tensor(0.0284),tensor(7275)
client_154,24,tensor(0.0153),tensor(3921)
client_30,25,tensor(0.0355),tensor(9109)
client_105,25,tensor(0.0266),tensor(6816)
client_149,25,tensor(0.0184),tensor(4718)
client_99,25,tensor(0.0276),tensor(7078)
client_0,25,tensor(0.0155),tensor(3966)
client_86,25,tensor(0.0116),tensor(2987)
client_12,25,tensor(0.0122),tensor(3141)
client_152,25,tensor(0.0121),tensor(3105)
client_47,25,tensor(0.0166),tensor(4260)
client_100,26,tensor(0.0277),tensor(7103)
client_78,26,tensor(0.0132),tensor(3373)
client_158,26,tensor(0.0375),tensor(9625)
client_22,26,tensor(0.0132),tensor(3381)
client_66,26,tensor(0.0179),tensor(4588)
client_151,26,tensor(0.0038),tensor(979)
client_170,26,tensor(0.0273),tensor(6992)
client_166,26,tensor(0.0104),tensor(2663)
client_18,26,tensor(0.0318),tensor(8152)
client_3,26,tensor(0.0233),tensor(5972)
client_143,26,tensor(0.0124),tensor(3186)
client_76,27,tensor(0.0228),tensor(5853)
client_24,27,tensor(0.0299),tensor(7665)
client_168,27,tensor(0.0209),tensor(5369)
client_114,27,tensor(0.0160),tensor(4106)
client_5,27,tensor(0.0242),tensor(6199)
client_156,27,tensor(0.0137),tensor(3523)
client_83,27,tensor(0.0089),tensor(2292)
client_22,27,tensor(0.0055),tensor(1419)
client_112,27,tensor(0.0146),tensor(3747)
client_7,28,tensor(0.0189),tensor(4849)
client_94,28,tensor(0.0113),tensor(2907)
client_51,28,tensor(0.0136),tensor(3475)
client_168,28,tensor(0.0087),tensor(2241)
client_140,28,tensor(0.0070),tensor(1798)
client_1,28,tensor(0.0120),tensor(3081)
client_75,28,tensor(0.0125),tensor(3202)
client_131,28,tensor(0.0253),tensor(6494)
client_155,28,tensor(0.0177),tensor(4548)
client_23,28,tensor(0.0380),tensor(9735)
client_167,28,tensor(0.0314),tensor(8047)
client_66,28,tensor(0.0097),tensor(2493)
client_116,29,tensor(0.0227),tensor(5820)
client_23,29,tensor(0.0077),tensor(1963)
client_127,29,tensor(0.0270),tensor(6923)
client_63,29,tensor(0.0391),tensor(10015)
client_110,29,tensor(0.0119),tensor(3049)
client_109,29,tensor(0.0387),tensor(9917)
client_137,29,tensor(0.0136),tensor(3477)
client_70,29,tensor(0.0357),tensor(9165)
client_73,29,tensor(0.0327),tensor(8397)
client_119,29,tensor(0.0212),tensor(5438)
client_173,29,tensor(0.0309),tensor(7925)
client_39,29,tensor(0.0261),tensor(6693)
client_89,29,tensor(0.0282),tensor(7236)
client_93,30,tensor(0.0160),tensor(4111)
client_72,30,tensor(0.0397),tensor(10184)
client_125,30,tensor(0.0186),tensor(4758)
client_35,30,tensor(0.0134),tensor(3430)
client_104,30,tensor(0.0275),tensor(7041)
client_15,30,tensor(0.0217),tensor(5555)
client_19,30,tensor(0.0170),tensor(4351)
client_110,30,tensor(0.0066),tensor(1702)
client_61,30,tensor(0.0243),tensor(6218)
client_168,30,tensor(0.0116),tensor(2987)
client_164,30,tensor(0.0374),tensor(9587)
client_149,30,tensor(0.0146),tensor(3737)
client_36,30,tensor(0.0209),tensor(5354)
client_124,31,tensor(0.0132),tensor(3379)
client_25,31,tensor(0.0227),tensor(5819)
client_50,31,tensor(0.0285),tensor(7296)
client_120,31,tensor(0.0310),tensor(7946)
client_90,31,tensor(0.0244),tensor(6250)
client_97,31,tensor(0.0269),tensor(6910)
client_64,31,tensor(0.0189),tensor(4845)
client_174,31,tensor(0.0202),tensor(5178)
client_125,31,tensor(0.0076),tensor(1959)
