client,round,percentage,count
client_1115,0,tensor(0.5079),tensor(14871)
client_170,0,tensor(0.5395),tensor(15798)
client_1653,0,tensor(0.4180),tensor(12241)
client_1714,0,tensor(0.4126),tensor(12082)
client_709,0,tensor(0.6752),tensor(19771)
client_595,0,tensor(0.7733),tensor(22644)
client_1696,0,tensor(0.5381),tensor(15757)
client_81,0,tensor(0.4738),tensor(13875)
client_233,0,tensor(0.6034),tensor(17668)
client_631,0,tensor(0.4214),tensor(12338)
client_1672,0,tensor(0.5069),tensor(14843)
client_1846,0,tensor(0.6377),tensor(18673)
client_123,0,tensor(0.4381),tensor(12827)
client_2112,0,tensor(0.5479),tensor(16043)
client_2039,0,tensor(0.2493),tensor(7301)
client_2163,0,tensor(0.4442),tensor(13006)
client_1836,0,tensor(0.6183),tensor(18106)
client_1139,0,tensor(0.2655),tensor(7775)
client_175,0,tensor(0.2441),tensor(7148)
client_1886,0,tensor(0.4795),tensor(14042)
client_1928,0,tensor(0.4057),tensor(11880)
client_1135,0,tensor(0.3147),tensor(9215)
client_1139,0,tensor(0.1120),tensor(3281)
client_1402,0,tensor(0.4519),tensor(13233)
client_228,0,tensor(0.5105),tensor(14949)
client_1672,0,tensor(0.1410),tensor(4129)
client_956,0,tensor(0.5053),tensor(14797)
client_2274,0,tensor(0.5465),tensor(16003)
client_2124,0,tensor(0.4573),tensor(13392)
client_2279,0,tensor(0.3560),tensor(10425)
client_956,0,tensor(0.1983),tensor(5808)
client_1431,0,tensor(0.5706),tensor(16708)
client_697,0,tensor(0.3133),tensor(9175)
client_69,0,tensor(0.4305),tensor(12605)
client_176,0,tensor(0.4375),tensor(12812)
client_1047,0,tensor(0.3403),tensor(9966)
client_357,0,tensor(0.5390),tensor(15784)
client_1106,0,tensor(0.7152),tensor(20943)
client_1716,0,tensor(0.2748),tensor(8047)
client_909,0,tensor(0.1250),tensor(3659)
client_176,0,tensor(0.2189),tensor(6409)
client_1676,0,tensor(0.3592),tensor(10519)
client_2336,0,tensor(0.4772),tensor(13973)
client_1223,0,tensor(0.4500),tensor(13176)
client_2036,0,tensor(0.4588),tensor(13434)
client_2136,0,tensor(0.5174),tensor(15150)
client_1797,0,tensor(0.2659),tensor(7785)
client_1207,0,tensor(0.6505),tensor(19048)
client_631,0,tensor(0.0650),tensor(1904)
client_509,0,tensor(0.5256),tensor(15391)
client_1241,0,tensor(0.3850),tensor(11273)
client_1525,0,tensor(0.3484),tensor(10203)
client_2152,0,tensor(0.3415),tensor(10001)
client_47,0,tensor(0.4915),tensor(14392)
client_571,0,tensor(0.4036),tensor(11818)
client_251,0,tensor(0.6798),tensor(19906)
client_1398,0,tensor(0.1141),tensor(3340)
client_2041,0,tensor(0.4027),tensor(11792)
client_1698,0,tensor(0.4348),tensor(12731)
client_1012,0,tensor(0.4066),tensor(11906)
client_1511,0,tensor(0.5222),tensor(15292)
client_2278,0,tensor(0.2797),tensor(8189)
client_424,0,tensor(0.5648),tensor(16538)
client_1882,0,tensor(0.5269),tensor(15429)
client_1792,0,tensor(0.3742),tensor(10956)
client_813,0,tensor(0.5195),tensor(15212)
client_2049,0,tensor(0.2943),tensor(8618)
client_1417,0,tensor(0.4904),tensor(14359)
client_834,0,tensor(0.5190),tensor(15198)
client_1202,0,tensor(0.5627),tensor(16476)
client_1625,0,tensor(0.2217),tensor(6492)
client_1643,0,tensor(0.4160),tensor(12182)
client_694,0,tensor(0.6730),tensor(19707)
client_460,0,tensor(0.2816),tensor(8245)
client_1137,0,tensor(0.4865),tensor(14245)
client_841,0,tensor(0.4514),tensor(13218)
client_520,0,tensor(0.5219),tensor(15282)
client_2271,0,tensor(0.4318),tensor(12644)
client_2319,0,tensor(0.6251),tensor(18303)
client_1029,0,tensor(0.4831),tensor(14145)
client_820,0,tensor(0.3774),tensor(11050)
client_1998,0,tensor(0.5528),tensor(16187)
client_1777,0,tensor(0.3437),tensor(10063)
client_1377,0,tensor(0.3070),tensor(8989)
client_987,0,tensor(0.4778),tensor(13990)
client_910,0,tensor(0.5100),tensor(14934)
client_119,0,tensor(0.1330),tensor(3895)
client_1552,0,tensor(0.5946),tensor(17410)
client_2257,0,tensor(0.2940),tensor(8609)
client_2025,0,tensor(0.2479),tensor(7260)
client_904,0,tensor(0.4507),tensor(13196)
client_813,0,tensor(0.2660),tensor(7790)
client_1591,0,tensor(0.6409),tensor(18767)
client_532,0,tensor(0.1541),tensor(4512)
client_389,0,tensor(0.4188),tensor(12263)
client_473,0,tensor(0.5023),tensor(14708)
client_1212,0,tensor(0.4640),tensor(13587)
client_2086,0,tensor(0.2594),tensor(7595)
client_46,0,tensor(0.2336),tensor(6839)
client_2068,0,tensor(0.4967),tensor(14545)
client_1394,0,tensor(0.2114),tensor(6191)
client_636,0,tensor(0.3500),tensor(10250)
client_215,0,tensor(0.3332),tensor(9757)
client_2088,0,tensor(0.4763),tensor(13946)
client_2298,0,tensor(0.5204),tensor(15239)
client_1472,0,tensor(0.3678),tensor(10769)
client_2281,0,tensor(0.5692),tensor(16666)
client_371,0,tensor(0.3734),tensor(10935)
client_2084,0,tensor(0.4853),tensor(14211)
client_1326,0,tensor(0.4385),tensor(12839)
client_739,0,tensor(0.4695),tensor(13747)
client_2122,0,tensor(0.4211),tensor(12330)
client_952,0,tensor(0.4041),tensor(11832)
client_1583,0,tensor(0.4869),tensor(14258)
client_1889,0,tensor(0.5305),tensor(15535)
client_482,0,tensor(0.3785),tensor(11084)
client_1886,0,tensor(0.2730),tensor(7993)
client_1150,0,tensor(0.5571),tensor(16313)
client_57,0,tensor(0.4386),tensor(12844)
client_1438,0,tensor(0.5140),tensor(15050)
client_968,0,tensor(0.4176),tensor(12227)
client_228,0,tensor(0.2109),tensor(6177)
