client,round,percentage,count
client_1670,0,tensor(0.0558),tensor(1635)
client_1807,0,tensor(0.0803),tensor(2351)
client_1835,0,tensor(0.0677),tensor(1981)
client_1435,0,tensor(0.4938),tensor(14460)
client_7,0,tensor(0.1169),tensor(3422)
client_1051,0,tensor(0.1079),tensor(3160)
client_817,0,tensor(0.1351),tensor(3955)
client_301,0,tensor(0.0384),tensor(1123)
client_1468,0,tensor(0.0667),tensor(1952)
client_951,0,tensor(0.0968),tensor(2834)
client_1170,0,tensor(0.1380),tensor(4041)
client_1160,0,tensor(0.0605),tensor(1771)
client_1752,0,tensor(0.1081),tensor(3165)
client_917,0,tensor(0.0584),tensor(1709)
client_2041,0,tensor(0.1049),tensor(3071)
client_2138,0,tensor(0.0562),tensor(1647)
client_485,0,tensor(0.0681),tensor(1994)
client_2097,0,tensor(0.0939),tensor(2751)
client_809,0,tensor(0.1364),tensor(3993)
client_2333,0,tensor(0.0630),tensor(1846)
client_2245,0,tensor(0.0737),tensor(2159)
client_154,0,tensor(0.0480),tensor(1407)
client_808,0,tensor(0.0774),tensor(2266)
client_887,0,tensor(0.0896),tensor(2623)
client_1945,0,tensor(0.0613),tensor(1796)
client_910,0,tensor(0.5298),tensor(15514)
client_1173,0,tensor(0.0382),tensor(1119)
client_1845,0,tensor(0.0634),tensor(1857)
client_366,0,tensor(0.0830),tensor(2431)
client_1568,0,tensor(0.0814),tensor(2383)
client_1849,0,tensor(0.0636),tensor(1862)
client_476,0,tensor(0.0682),tensor(1996)
client_2307,0,tensor(0.5312),tensor(15555)
client_885,0,tensor(0.5113),tensor(14972)
client_260,0,tensor(0.5391),tensor(15785)
client_214,0,tensor(0.0757),tensor(2217)
client_1582,0,tensor(0.0684),tensor(2004)
client_1454,0,tensor(0.0507),tensor(1485)
client_1579,0,tensor(0.0533),tensor(1561)
client_917,0,tensor(0.0599),tensor(1755)
client_1385,0,tensor(0.0862),tensor(2523)
client_771,0,tensor(0.0962),tensor(2818)
client_290,0,tensor(0.0928),tensor(2718)
client_1975,0,tensor(0.1030),tensor(3015)
client_154,0,tensor(0.0567),tensor(1660)
client_1051,0,tensor(0.1042),tensor(3051)
client_7,0,tensor(0.0761),tensor(2229)
client_2038,0,tensor(0.1159),tensor(3393)
client_281,0,tensor(0.0699),tensor(2047)
client_1400,0,tensor(0.0500),tensor(1465)
client_684,0,tensor(0.0428),tensor(1253)
client_2295,0,tensor(0.0867),tensor(2539)
client_1793,0,tensor(0.0900),tensor(2635)
client_172,0,tensor(0.0602),tensor(1763)
client_69,0,tensor(0.0335),tensor(980)
client_1446,0,tensor(0.6256),tensor(18318)
client_1234,0,tensor(0.1656),tensor(4849)
client_155,0,tensor(0.0395),tensor(1157)
client_2201,0,tensor(0.5174),tensor(15151)
client_611,0,tensor(0.1092),tensor(3197)
client_968,0,tensor(0.0689),tensor(2018)
client_1234,0,tensor(0.0684),tensor(2004)
client_553,0,tensor(0.0845),tensor(2475)
client_1928,0,tensor(0.1146),tensor(3355)
client_1717,0,tensor(0.1115),tensor(3264)
client_368,0,tensor(0.0984),tensor(2880)
client_512,0,tensor(0.0583),tensor(1707)
client_1866,0,tensor(0.0184),tensor(539)
client_2036,0,tensor(0.1474),tensor(4316)
client_1892,0,tensor(0.0881),tensor(2579)
client_443,0,tensor(0.0857),tensor(2509)
client_423,0,tensor(0.1226),tensor(3589)
client_159,0,tensor(0.0976),tensor(2857)
client_1134,0,tensor(0.1380),tensor(4041)
client_1579,0,tensor(0.0491),tensor(1438)
client_101,0,tensor(0.4984),tensor(14593)
client_899,0,tensor(0.0877),tensor(2569)
client_1042,0,tensor(0.0846),tensor(2478)
client_624,0,tensor(0.1181),tensor(3459)
client_372,0,tensor(0.0643),tensor(1884)
client_2335,0,tensor(0.6063),tensor(17754)
client_868,0,tensor(0.0993),tensor(2909)
client_2238,0,tensor(0.0639),tensor(1870)
client_1924,0,tensor(0.1589),tensor(4653)
client_1880,0,tensor(0.0966),tensor(2829)
client_1755,0,tensor(0.1106),tensor(3239)
client_553,0,tensor(0.0446),tensor(1306)
client_39,0,tensor(0.0551),tensor(1613)
client_957,0,tensor(0.0914),tensor(2677)
client_158,0,tensor(0.1062),tensor(3110)
client_1094,0,tensor(0.5540),tensor(16223)
client_2264,0,tensor(0.5539),tensor(16220)
client_483,0,tensor(0.6638),tensor(19436)
client_1257,0,tensor(0.1087),tensor(3184)
client_366,0,tensor(0.0596),tensor(1744)
client_288,0,tensor(0.0754),tensor(2208)
client_245,0,tensor(0.0617),tensor(1808)
client_1894,0,tensor(0.4694),tensor(13744)
client_2195,0,tensor(0.0971),tensor(2842)
client_14,0,tensor(0.1210),tensor(3544)
client_887,0,tensor(0.0466),tensor(1366)
client_780,0,tensor(0.0525),tensor(1536)
client_613,0,tensor(0.0480),tensor(1406)
client_1005,0,tensor(0.5567),tensor(16301)
client_542,0,tensor(0.0659),tensor(1930)
client_1190,0,tensor(0.0494),tensor(1446)
client_466,0,tensor(0.0798),tensor(2336)
client_1180,0,tensor(0.0617),tensor(1806)
client_62,0,tensor(0.0566),tensor(1657)
client_206,0,tensor(0.0418),tensor(1223)
client_2176,0,tensor(0.0665),tensor(1948)
client_254,0,tensor(0.0931),tensor(2727)
client_331,0,tensor(0.0504),tensor(1475)
client_1703,0,tensor(0.4646),tensor(13604)
client_1582,0,tensor(0.0901),tensor(2639)
client_958,0,tensor(0.0386),tensor(1129)
client_53,0,tensor(0.1723),tensor(5044)
client_1697,0,tensor(0.5458),tensor(15983)
client_113,0,tensor(0.0609),tensor(1784)
client_691,0,tensor(0.0979),tensor(2866)
client_1910,0,tensor(0.0635),tensor(1859)
client_375,0,tensor(0.0664),tensor(1944)
