client,round,percentage,count
client_1653,10,tensor(0.1009),tensor(2954)
client_602,11,tensor(0.1147),tensor(3359)
client_1415,11,tensor(0.2132),tensor(6242)
client_530,11,tensor(0.3553),tensor(10404)
client_2336,11,tensor(0.2086),tensor(6108)
client_1463,11,tensor(0.1487),tensor(4355)
client_165,11,tensor(0.1754),tensor(5135)
client_699,11,tensor(0.1287),tensor(3769)
client_628,11,tensor(0.1770),tensor(5184)
client_312,11,tensor(0.3411),tensor(9987)
client_2281,11,tensor(0.1062),tensor(3110)
client_1106,11,tensor(0.3402),tensor(9963)
client_860,11,tensor(0.2490),tensor(7290)
client_2194,11,tensor(0.5385),tensor(15768)
client_208,11,tensor(0.2601),tensor(7617)
client_2285,11,tensor(0.1515),tensor(4436)
client_494,11,tensor(0.3447),tensor(10094)
client_609,11,tensor(0.1122),tensor(3284)
client_466,11,tensor(0.3276),tensor(9592)
client_644,11,tensor(0.2859),tensor(8371)
client_810,11,tensor(0.2513),tensor(7359)
client_920,11,tensor(0.3833),tensor(11224)
client_833,11,tensor(0.2467),tensor(7223)
client_1665,11,tensor(0.5430),tensor(15899)
client_821,11,tensor(0.4095),tensor(11992)
client_2005,11,tensor(0.1468),tensor(4300)
client_1462,11,tensor(0.1630),tensor(4772)
client_843,11,tensor(0.6818),tensor(19964)
client_1182,11,tensor(0.1945),tensor(5694)
client_5,11,tensor(0.1986),tensor(5816)
client_649,11,tensor(0.2447),tensor(7164)
client_613,11,tensor(0.1521),tensor(4455)
client_1141,11,tensor(0.0912),tensor(2671)
client_2320,11,tensor(0.2601),tensor(7617)
client_1339,11,tensor(0.1291),tensor(3780)
client_456,11,tensor(0.0919),tensor(2692)
client_156,11,tensor(0.3105),tensor(9093)
client_1597,11,tensor(0.2104),tensor(6162)
client_1668,12,tensor(0.3495),tensor(10234)
client_143,12,tensor(0.1034),tensor(3028)
client_2083,12,tensor(0.2100),tensor(6148)
client_477,12,tensor(0.2963),tensor(8677)
client_268,12,tensor(0.1993),tensor(5837)
client_1130,12,tensor(0.1725),tensor(5051)
client_1438,12,tensor(0.1451),tensor(4248)
client_813,12,tensor(0.5691),tensor(16665)
client_1295,12,tensor(0.1021),tensor(2991)
client_2162,12,tensor(0.1259),tensor(3687)
client_1616,12,tensor(0.5124),tensor(15005)
client_2117,12,tensor(0.2656),tensor(7776)
client_1467,12,tensor(0.0835),tensor(2445)
client_812,12,tensor(0.2212),tensor(6477)
client_1763,12,tensor(0.1756),tensor(5143)
client_1160,12,tensor(0.2917),tensor(8543)
client_689,12,tensor(0.1544),tensor(4520)
client_1799,12,tensor(0.5343),tensor(15644)
client_1120,12,tensor(0.4303),tensor(12600)
client_2087,12,tensor(0.1770),tensor(5182)
client_419,12,tensor(0.1426),tensor(4175)
client_1534,12,tensor(0.1073),tensor(3143)
client_259,12,tensor(0.1426),tensor(4177)
client_628,12,tensor(0.1923),tensor(5631)
client_599,12,tensor(0.4829),tensor(14140)
client_375,12,tensor(0.1389),tensor(4066)
client_2273,12,tensor(0.5176),tensor(15157)
client_2336,12,tensor(0.1574),tensor(4608)
client_598,12,tensor(0.0931),tensor(2726)
client_2062,12,tensor(0.1509),tensor(4418)
client_1919,12,tensor(0.2267),tensor(6639)
client_1376,12,tensor(0.1604),tensor(4696)
client_1617,12,tensor(0.1943),tensor(5689)
client_2284,12,tensor(0.6444),tensor(18868)
client_610,12,tensor(0.3331),tensor(9755)
client_77,12,tensor(0.4402),tensor(12890)
client_1378,12,tensor(0.2178),tensor(6378)
client_2207,12,tensor(0.5246),tensor(15361)
client_1959,12,tensor(0.0959),tensor(2808)
client_1465,12,tensor(0.1049),tensor(3071)
client_95,12,tensor(0.3463),tensor(10140)
client_1415,12,tensor(0.1139),tensor(3336)
client_1665,12,tensor(0.3596),tensor(10530)
client_1858,12,tensor(0.1109),tensor(3246)
client_759,12,tensor(0.2920),tensor(8550)
client_887,12,tensor(0.1535),tensor(4496)
client_2321,13,tensor(0.2183),tensor(6391)
client_1142,13,tensor(0.0972),tensor(2847)
client_1143,13,tensor(0.4757),tensor(13929)
client_2005,13,tensor(0.1671),tensor(4894)
client_1530,13,tensor(0.3840),tensor(11244)
client_2055,13,tensor(0.6242),tensor(18279)
client_501,13,tensor(0.4461),tensor(13063)
client_2024,13,tensor(0.1315),tensor(3850)
client_1120,13,tensor(0.1318),tensor(3860)
client_1399,13,tensor(0.3605),tensor(10556)
client_247,13,tensor(0.6282),tensor(18396)
client_1380,13,tensor(0.3397),tensor(9947)
client_34,13,tensor(0.1556),tensor(4555)
client_506,13,tensor(0.1244),tensor(3642)
client_644,13,tensor(0.0935),tensor(2737)
client_1035,13,tensor(0.1406),tensor(4118)
client_2184,13,tensor(0.1078),tensor(3158)
client_1620,13,tensor(0.5241),tensor(15348)
client_446,13,tensor(0.1414),tensor(4140)
client_312,13,tensor(0.1326),tensor(3883)
client_915,13,tensor(0.1821),tensor(5331)
