client,round,percentage,count
client_1452,119,tensor(0.0013),tensor(1332)
client_3414,119,tensor(0.0015),tensor(1593)
client_1676,119,tensor(0.0011),tensor(1187)
client_1037,119,tensor(0.0007),tensor(708)
client_1908,119,tensor(0.0012),tensor(1249)
client_2130,119,tensor(0.0046),tensor(4828)
client_1286,119,tensor(0.0009),tensor(988)
client_3455,119,tensor(0.0015),tensor(1617)
client_909,119,tensor(0.0029),tensor(3000)
client_2825,119,tensor(0.0017),tensor(1805)
client_331,119,tensor(0.0017),tensor(1743)
client_1551,119,tensor(0.0019),tensor(1944)
client_1932,119,tensor(0.0011),tensor(1192)
client_1459,119,tensor(0.0030),tensor(3127)
client_2448,119,tensor(0.0006),tensor(658)
client_2103,119,tensor(0.0014),tensor(1474)
client_830,119,tensor(0.0022),tensor(2296)
client_535,119,tensor(0.0010),tensor(1046)
client_2233,119,tensor(0.0011),tensor(1171)
client_2601,119,tensor(0.0017),tensor(1741)
client_530,119,tensor(0.0022),tensor(2311)
client_3361,119,tensor(0.0014),tensor(1451)
client_3412,119,tensor(0.0009),tensor(952)
client_2959,120,tensor(0.0022),tensor(2349)
client_317,120,tensor(0.0028),tensor(2970)
client_1841,120,tensor(0.0010),tensor(1021)
client_406,120,tensor(0.0020),tensor(2098)
client_40,120,tensor(0.0025),tensor(2575)
client_927,120,tensor(0.0013),tensor(1367)
client_1334,120,tensor(0.0012),tensor(1271)
client_2471,120,tensor(0.0014),tensor(1422)
client_704,120,tensor(0.0023),tensor(2369)
client_686,120,tensor(0.0017),tensor(1736)
client_1304,120,tensor(0.0016),tensor(1651)
client_78,120,tensor(0.0016),tensor(1654)
client_1706,120,tensor(0.0026),tensor(2734)
client_623,120,tensor(0.0015),tensor(1553)
client_13,120,tensor(0.0008),tensor(866)
client_2655,120,tensor(0.0010),tensor(1038)
client_1008,120,tensor(0.0014),tensor(1430)
client_1629,120,tensor(0.0020),tensor(2081)
client_1890,120,tensor(0.0012),tensor(1244)
client_1357,120,tensor(0.0015),tensor(1593)
client_3077,120,tensor(0.0009),tensor(944)
client_954,120,tensor(0.0017),tensor(1746)
client_2636,120,tensor(0.0011),tensor(1131)
client_1328,120,tensor(0.0022),tensor(2355)
client_3409,120,tensor(0.0012),tensor(1266)
client_1638,120,tensor(0.0014),tensor(1504)
client_1703,120,tensor(0.0009),tensor(905)
client_460,120,tensor(0.0018),tensor(1893)
client_1810,120,tensor(0.0022),tensor(2350)
client_372,120,tensor(0.0014),tensor(1424)
client_266,120,tensor(0.0030),tensor(3175)
client_1321,120,tensor(0.0018),tensor(1853)
client_166,120,tensor(0.0016),tensor(1713)
client_507,120,tensor(0.0028),tensor(2902)
client_3390,120,tensor(0.0012),tensor(1306)
client_1809,120,tensor(0.0020),tensor(2087)
client_2516,120,tensor(0.0011),tensor(1154)
client_2304,120,tensor(0.0009),tensor(901)
client_2586,120,tensor(0.0022),tensor(2340)
client_1668,120,tensor(0.0008),tensor(798)
client_1324,120,tensor(0.0011),tensor(1110)
client_3207,120,tensor(0.0021),tensor(2229)
client_1216,120,tensor(0.0027),tensor(2866)
client_2922,120,tensor(0.0012),tensor(1292)
client_1495,120,tensor(0.0022),tensor(2269)
client_1452,120,tensor(0.0011),tensor(1165)
client_3273,120,tensor(0.0020),tensor(2083)
client_2668,120,tensor(0.0015),tensor(1587)
client_2068,120,tensor(0.0023),tensor(2455)
client_2896,120,tensor(0.0028),tensor(2974)
client_1510,120,tensor(0.0013),tensor(1334)
client_1429,120,tensor(0.0039),tensor(4111)
client_3263,120,tensor(0.0020),tensor(2060)
client_3017,120,tensor(0.0026),tensor(2753)
client_44,120,tensor(0.0013),tensor(1360)
client_3139,120,tensor(0.0026),tensor(2767)
client_2963,120,tensor(0.0009),tensor(922)
client_1660,120,tensor(0.0025),tensor(2660)
client_575,120,tensor(0.0018),tensor(1886)
client_2258,120,tensor(0.0011),tensor(1181)
client_3401,120,tensor(0.0023),tensor(2443)
client_481,120,tensor(0.0016),tensor(1666)
