client,round,percentage,count
client_65,0,tensor(0.0142),tensor(3645)
client_39,0,tensor(0.0090),tensor(2297)
client_28,0,tensor(0.0073),tensor(1861)
client_37,0,tensor(0.0094),tensor(2417)
client_172,0,tensor(0.0062),tensor(1589)
client_60,0,tensor(0.0080),tensor(2051)
client_154,0,tensor(0.0091),tensor(2334)
client_128,0,tensor(0.0011),tensor(276)
client_179,0,tensor(0.0028),tensor(730)
client_148,0,tensor(0.0032),tensor(832)
client_3,0,tensor(0.0011),tensor(294)
client_19,0,tensor(0.0013),tensor(346)
client_5,0,tensor(0.0055),tensor(1411)
client_55,0,tensor(0.0023),tensor(597)
client_0,0,tensor(0.0090),tensor(2302)
client_22,0,tensor(0.0017),tensor(440)
client_11,0,tensor(0.0126),tensor(3239)
client_19,0,tensor(0.0159),tensor(4081)
client_53,0,tensor(0.0130),tensor(3336)
client_144,0,tensor(0.0011),tensor(275)
client_34,0,tensor(0.0177),tensor(4530)
client_26,0,tensor(0.0141),tensor(3610)
client_53,0,tensor(0.0021),tensor(537)
client_8,0,tensor(0.0150),tensor(3844)
client_81,0,tensor(0.0025),tensor(648)
client_33,0,tensor(0.0195),tensor(5004)
client_144,0,tensor(0.0055),tensor(1415)
client_125,0,tensor(0.0048),tensor(1225)
client_113,0,tensor(0.0150),tensor(3835)
client_157,0,tensor(0.0053),tensor(1354)
client_52,0,tensor(0.0023),tensor(597)
client_150,0,tensor(0.0037),tensor(955)
client_62,0,tensor(0.0013),tensor(332)
client_75,0,tensor(0.0141),tensor(3619)
client_102,0,tensor(0.0144),tensor(3692)
client_166,0,tensor(0.0141),tensor(3626)
client_71,0,tensor(0.0114),tensor(2934)
client_115,0,tensor(0.0112),tensor(2870)
client_4,0,tensor(0.0084),tensor(2157)
client_121,0,tensor(0.0043),tensor(1112)
client_114,0,tensor(0.0087),tensor(2223)
client_50,0,tensor(0.0173),tensor(4443)
client_27,0,tensor(0.0120),tensor(3078)
client_170,0,tensor(0.0159),tensor(4082)
client_156,0,tensor(0.0140),tensor(3601)
client_111,0,tensor(0.0073),tensor(1873)
client_178,0,tensor(0.0199),tensor(5097)
client_50,0,tensor(0.0069),tensor(1775)
client_113,0,tensor(0.0085),tensor(2177)
client_73,0,tensor(0.0092),tensor(2351)
client_147,0,tensor(0.0215),tensor(5502)
client_61,0,tensor(0.0028),tensor(709)
client_29,0,tensor(0.0140),tensor(3586)
client_111,0,tensor(0.0053),tensor(1357)
client_17,0,tensor(0.0152),tensor(3895)
client_90,0,tensor(0.0098),tensor(2525)
client_90,0,tensor(0.0035),tensor(902)
client_11,0,tensor(0.0075),tensor(1932)
client_61,0,tensor(0.0080),tensor(2060)
client_128,0,tensor(0.0041),tensor(1039)
client_118,0,tensor(0.0164),tensor(4211)
client_38,0,tensor(0.0145),tensor(3724)
client_89,0,tensor(0.0254),tensor(6503)
client_164,0,tensor(0.0107),tensor(2731)
client_8,0,tensor(0.0064),tensor(1653)
client_98,0,tensor(0.0151),tensor(3875)
client_99,0,tensor(0.0113),tensor(2897)
client_46,0,tensor(0.0138),tensor(3543)
client_62,0,tensor(0.0104),tensor(2654)
client_107,0,tensor(0.0240),tensor(6158)
client_37,0,tensor(0.0050),tensor(1277)
client_34,0,tensor(0.0095),tensor(2443)
client_54,0,tensor(0.0219),tensor(5624)
client_56,0,tensor(0.0114),tensor(2922)
client_66,0,tensor(0.0210),tensor(5381)
client_30,0,tensor(0.0097),tensor(2482)
client_84,0,tensor(0.0093),tensor(2396)
client_157,0,tensor(0.0204),tensor(5233)
client_3,0,tensor(0.0090),tensor(2300)
client_132,0,tensor(0.0234),tensor(5991)
client_93,0,tensor(0.0067),tensor(1710)
client_130,0,tensor(0.0174),tensor(4473)
client_175,0,tensor(0.0040),tensor(1013)
client_177,0,tensor(0.0061),tensor(1560)
client_24,0,tensor(0.0203),tensor(5214)
client_122,0,tensor(0.0190),tensor(4871)
client_98,0,tensor(0.0083),tensor(2127)
client_71,0,tensor(0.0041),tensor(1060)
client_38,0,tensor(0.0051),tensor(1299)
client_0,0,tensor(0.0138),tensor(3542)
client_151,0,tensor(5.0700e-05),tensor(13)
client_38,0,tensor(0.0152),tensor(3908)
client_167,0,tensor(0.0048),tensor(1233)
client_30,0,tensor(0.0085),tensor(2175)
client_85,0,tensor(0.0045),tensor(1156)
client_77,0,tensor(0.0038),tensor(987)
client_126,0,tensor(0.0261),tensor(6682)
client_165,0,tensor(0.0309),tensor(7927)
client_157,0,tensor(0.0108),tensor(2758)
client_52,0,tensor(0.0262),tensor(6723)
client_113,0,tensor(0.0203),tensor(5213)
client_127,0,tensor(0.0071),tensor(1819)
client_113,0,tensor(0.0117),tensor(3001)
client_91,0,tensor(0.0149),tensor(3822)
client_129,0,tensor(0.0422),tensor(10822)
client_102,0,tensor(0.0058),tensor(1498)
client_17,0,tensor(0.0029),tensor(747)
client_141,0,tensor(0.0215),tensor(5508)
client_7,0,tensor(0.0197),tensor(5059)
client_128,0,tensor(0.0108),tensor(2766)
client_34,0,tensor(0.0092),tensor(2361)
client_113,0,tensor(0.0172),tensor(4411)
client_175,0,tensor(0.0108),tensor(2761)
client_22,0,tensor(0.0198),tensor(5086)
client_174,0,tensor(0.0093),tensor(2396)
client_159,0,tensor(0.0186),tensor(4772)
client_51,0,tensor(0.0191),tensor(4900)
client_73,0,tensor(0.0060),tensor(1543)
client_62,0,tensor(0.0092),tensor(2362)
client_176,0,tensor(0.0244),tensor(6257)
client_12,0,tensor(0.0169),tensor(4340)
client_54,0,tensor(0.0065),tensor(1665)
client_57,0,tensor(0.0207),tensor(5319)
client_85,0,tensor(0.0218),tensor(5577)
client_128,0,tensor(0.0050),tensor(1272)
client_41,0,tensor(0.0143),tensor(3672)
client_61,0,tensor(0.0027),tensor(697)
client_80,0,tensor(0.0256),tensor(6553)
client_125,0,tensor(0.0070),tensor(1798)
client_66,0,tensor(0.0119),tensor(3043)
client_50,0,tensor(0.0058),tensor(1483)
client_45,0,tensor(0.0136),tensor(3487)
client_164,0,tensor(0.0076),tensor(1953)
client_76,0,tensor(0.0290),tensor(7424)
client_4,0,tensor(0.0011),tensor(285)
client_164,0,tensor(0.0104),tensor(2676)
client_123,0,tensor(0.0179),tensor(4593)
client_95,0,tensor(0.0240),tensor(6155)
